series,season,episode,episode_name,air_date,summary,mini_challenge,main_challenge,mini_challenge_winner,runway_theme
Canada's Drag Race,2,6,"""The Sinner's Ball""",2021-11-19,"
The remaining queens must create a ""twerk of art"" resembling their inner saboteur for this weeks mini-challenge. Icesis Couture wins the mini-challenge. For the main challenge, the queens have to make three looks for the Sinner's Ball: Sex, Drugs and Rock 'n' Roll, Ugly as Sin and Seven Deadly Sins. As the winner of the mini-challenge, Icesis got to assign each sin to the queens.

Adriana - Lust
Gia Metric - Sloth
Icesis Couture - Wrath
Kendall Gender - Pride
Kimora Amour - Envy
Pythia - Gluttony
Synthia Kiss - Greed
On the runway, Gia Metric, Icesis Couture, Kimora Amour and Pythia all receive positive critiques, with Icesis Couture winning the challenge. Adriana, Kendall Gender and Synthia Kiss receive negative critiques, with Adriana being saved from the bottom two. Kendall Gender and Synthia Kiss then lip-sync to ""Heaven"" by DJ Sammy. Kendall Gender wins the lip-sync and Synthia Kiss sashays away.

Guest Judge: Gigi Gorgeous
Alternating Judge: Amanda Brugel
Mini-Challenge: Get into artiste quick drag and paint an evocative ""twerk of art"" resembling their inner saboteur
Mini-Challenge Winner: Icesis Couture
Mini-Challenge Prize: A $2,000 gift card courtesy of Indochino
Main Challenge: The Sinner's Ball
Runway Theme: Sex, Drugs and Rock 'n' Roll, Ugly as Sin and Seven Deadly Sins
Challenge Winner: Icesis Couture
Challenge Prize: A $5,000 cash prize courtesy of Palm Holdings
Bottom Two: Kendall Gender and Synthia Kiss
Lip Sync Song: ""Heaven"" by DJ Sammy
Eliminated: Synthia Kiss
Farewell Message: ""Kiss it! Love u all sooo much!""
",": A $2,000 gift card courtesy of Indochino",: The Sinner's Ball,: Icesis Couture,": Sex, Drugs and Rock 'n' Roll, Ugly as Sin and Seven Deadly Sins"
Canada's Drag Race,2,7,"""The Roast of Brooke Lynn Hytes""",2021-11-26,"
For the mini-challenge, the queens will partake in Brad's new show ""Fashion Puh-Leeze"" where they will discuss the highs and lows of this season's fashion. Kendall Gender wins the mini-challenge. For the main challenge, the queens must roast Brooke Lynn Hytes.
On the runway, category is Dungeons and Drag Queens. Icesis Couture and Kendall Gender receive positive critiques, with Kendall Gender winning the challenge. The rest of the queens all receive negative critiques, with Gia Metric and Kimora Amour being the bottom two queens of the week. They lip-sync to ""Get Down” by B4-4. Gia Metric wins the lip-sync and Kimora Amour sashays away.

Guest Judge: Emma Hunter
Alternating Judge: Amanda Brugel
Mini-Challenge: Sound off on the highs and lows of this season's fashion on Brad's new show ""Fashion Puh-Leeze"".
Mini-Challenge Winner: Kendall Gender
Mini-Challenge Prize: A $2,500 cash tip courtesy of The Men's Room
Main Challenge: Partake in the Roast of Brooke Lynn Hytes
Runway Theme: Dungeons and Drag Queens
Challenge Winner: Kendall Gender
Challenge Prize: A $2,500 gift certificate and $5,000 cash courtesy of Vitaly
Bottom Two: Gia Metric and Kimora Amour
Lip Sync Song: ""Get Down” by B4-4
Eliminated: Kimora Amour
Farewell Message: ""Mutha Out!!!""
",": A $2,500 cash tip courtesy of The Men's Room",: Partake in the Roast of Brooke Lynn Hytes,: Kendall Gender,: Dungeons and Drag Queens
Canada's Drag Race,2,8,"""Prom""",2021-12-03,"
The queens enter the workroom and get a surprise live video call from their family members. For the main challenge, the queens will have to makeover a LGBTQ+ Teenager. Kendall Gender gets to assign all the pairings, after winning the challenge last week.
On the runway, category is Cool Mom and Prom Queen. Gia Metric and Pythia receive positive critiques, with Pythia winning the challenge. Adriana, Icesis Couture and Kendall Gender receive negative critiques, with Kendall Gender being saved. Adriana and Icesis Couture lip-sync to ""Everybody Say Love” by Mitsou. Icesis Couture wins the lip-sync and Adriana sashays away.

Guest Judge: Mitsou
Alternating Judge: Traci Melchor
Main Challenge: Makeover a LGBTQ+ Teenager
Runway Theme: Cool Mom and Prom Queen
Challenge Winner: Pythia
Challenge Prize: A $2,500 beauty gift card and $5,000 donated to It Gets Better Canada courtesy of Shoppers Drug Mart
Bottom Two: Adriana and Icesis Couture
Lip Sync Song: ""Everybody Say Love” by Mitsou
Eliminated: Adriana
Farewell Message: ""Bye, Chao Putas!""
",,: Makeover a LGBTQ+ Teenager,,: Cool Mom and Prom Queen
Canada's Drag Race,2,9,"""The Reunion""",2021-12-09,"
The top 4 queens reunite with the eight previously eliminated queens. Brad reveals a last-minute lip sync twist that will cut the top 4 into a top 3. The top 4 choose lip sticks with song titles to decide who they will lip sync against, and the ultimate loser of the tournament will be eliminated.
Suki Doll is crowned Miss Congeniality. Brad then reveals that the top 4 will compete in a lip-sync smackdown for a spot in the finale. Kendall Gender and Gia Metric lip sync to RuPaul's ""Main Event."" Kendall Gender wins the lip-sync and is the first queen to advance to the top three. Icesis Couture and Pythia lip sync to RuPaul's ""Born Naked"" and Icesis Couture wins the lip-sync and is the second queen to advance to the top three. Gia Metric and Pythia, as the losers of the previous lip syncs, lip-sync to RuPaul's ""Call Me Mother."" Pythia wins the lip-sync and is the final queen to advance to the finale, leaving Gia Metric to sashay away.

Miss Congeniality: Suki Doll
Alternating Judges: Traci Melchor and Amanda Brugel
Main Challenge: Lip sync for a spot in the top 3
Lip Sync Smackdown #1: Kendall Gender vs. Gia Metric
Lip Sync Song: "" Main Event"" by RuPaul
Winner: Kendall Gender
Lip Sync Smackdown #2: Icesis Couture vs. Pythia
Lip Sync Song: "" Born Naked"" by RuPaul
Winner: Icesis Couture
Lip Sync Smackdown #3: Gia Metric vs. Pythia
Lip Sync Song: "" Call Me Mother"" by RuPaul
Winner: Pythia
Top Three: Icesis Couture, Kendall Gender, and Pythia
Eliminated: Gia Metric
Farewell Message: ""I left my heart and soul on that stage! I love you all!""
",,,,
Canada's Drag Race,2,10,"""Queen of the North""",2021-12-16,"
For the final challenge of the season, the queens must write and record their own verses for and perform to Brooke Lynn Hytes' ""Queen of the North"". The queens walk the runway one last time in their Coronation Eleganza. The eliminated queens return and walk the runway one last time as well. The final three queens then lip-sync to ""It's All Coming Back to Me Now"" by Céline Dion. Season 1's winner Priyanka returns to the main stage to crown the new queen. It is announced that Icesis Couture is the winner, leaving Kendall Gender and Pythia as the runners-up.

Alternating Judges: Traci Melchor and Amanda Brugel
Main Challenge: Write and record your own verse for and perform to Brooke Lynn Hytes' ""Queen of the North""
Runway Theme: Coronation Eleganza
Lip Sync Song: ""It's All Coming Back to Me Now"" by Céline Dion
Runners-up: Kendall Gender and Pythia
Winner of Canada's Drag Race Season Two: Icesis Couture
",,": Write and record your own verse for and perform to Brooke Lynn Hytes' ""Queen of the North""",,: Coronation Eleganza
Canada's Drag Race,3,1,"""Sidewalk to Catwalk""",2022-07-14,"
Twelve new queens enter the werkroom. For the first mini-challenge, the queens serve ""streetwear chic"" looks in a rooftop fashion show. Bombae wins the mini-challenge. For the main challenge, the queens must turn their streetwear mini-challenge looks into high fashion catwalk couture outfits.
On the runway, Jada Shada Hudson, Kaos and Lady Boom Boom receive positive critiques, with Lady Boom Boom winning the challenge. Halal Bae, Miss Fiercalicious and Miss Moço receive negative critiques, with Miss Fiercalicious being safe. Halal Bae and Miss Moço lip-sync to ""Beauty and a Beat"" by Justin Bieber ft. Nicki Minaj. Miss Moço wins the lip-sync, and Halal Bae is the first queen to sashay away.

Guest Judge: Monika Schnarre
Mini-Challenge: Serve a ""streetwear chic"" look in a rooftop fashion show
Mini-Challenge Winner: Bombae
Mini-Challenge Prize: $2,500 courtesy of the Rupaul's Drag Race Werq the World Tour
Main Challenge: Create an entirely new ""catwalk couture"" look using their mini-challenge streetwear look
Runway Theme: Sidewalk to Catwalk
Challenge Winner: Lady Boom Boom
Challenge Prize: $5,000 courtesy of Palm Holdings
Bottom Two: Halal Bae and Miss Moço
Lip Sync Song: ""Beauty and a Beat"" by Justin Bieber ft. Nicki Minaj
Eliminated: Halal Bae
Farewell Message: ""I'll meat you girls on the other side. ♡ XOXO, Halal. P.S. Love you Bom! Get that crown""
",": $2,500 courtesy of the Rupaul's Drag Race Werq the World Tour",": Create an entirely new ""catwalk couture"" look using their mini-challenge streetwear look",: Bombae,: Sidewalk to Catwalk
Canada's Drag Race,3,2,"""The Who-Knows""",2022-07-21,"
For the mini-challenge, the queens are asked to design a quick-drag look made from a hockey jersey and gear, and audition to be on a drag queen hockey team. Chelazon Leroux wins the mini-challenge. For the main challenge, the queens must host segments of the prestigious award show the Who-Knows, and present the awards.
On the runway, category is Goddesses of the Ancient World. Chelazon Leroux, Kimmy Couture and Miss Fiercalicious receive positive critiques, with Kimmy Couture winning the challenge. Irma Gerd, Jada Shada Hudson and Miss Moço receive negative critiques, with Irma Gerd being safe. Jada Shada Hudson and Miss Moço lip-sync to ""High School Confidential"" by Rough Trade. Jada Shada Hudson wins the lip-sync, and Miss Moço sashays away.

Guest Judge: Carole Pope
Mini-Challenge: Design a hockey equipment ""quick-drag"" look and audition for a drag queen hockey team
Mini-Challenge Winner: Chelazon Leroux
Mini-Challenge Prize: $2,500 courtesy of the drag queen hip pad company Planet Pepper + the power to form the groups for the Main Challenge
Main Challenge: Host and present segments of the Who-Knows awards show
Runway Theme: Goddesses of the Ancient World
Challenge Winner: Kimmy Couture
Challenge Prize: $5,000 and a weekend getaway for two to Prince Edward County, courtesy of Welcome to the Dans
Bottom Two: Jada Shada Hudson and Miss Moço
Lip Sync Song: ""High School Confidential"" by Rough Trade
Eliminated: Miss Moço
Farewell Message: ""Hey queens! Y'all are so incredible + beautiful. Have fun! Be kind! Jada - I love you! XO, Moço""
",": $2,500 courtesy of the drag queen hip pad company Planet Pepper + the power to form the groups for the Main Challenge",: Host and present segments of the Who-Knows awards show,: Chelazon Leroux,: Goddesses of the Ancient World
Canada's Drag Race,3,3,"""Ruets""",2022-07-28,"
For this week's mini-challenge, the queens get into masculine quick drag and try to make Brooke Lynn laugh on a blind date. Vivian Vanderpuss wins the mini-challenge. For the main challenge, the queens choreograph and perform lip-sync numbers to well-known RuPaul duets in pairs. The queens perform the following numbers:

Chelazon Leroux and Kaos: ""Adrenaline"" by RuPaul and Myah Marie
Kimmy Couture and Lady Boom Boom: ""I Feel Like Dancing"" by RuPaul and La Toya Jackson
Bombae and Miss Fiercalicious: ""Let the Music Play"" by RuPaul and Michelle Visage
Irma Gerd and Jada Shada Hudson: ""Peanut Butter"" by RuPaul and Big Freedia
Gisèle Lullaby and Vivian Vanderpuss: ""Throw Ya Hands Up"" by RuPaul and Lady Bunny
On the runway, category is Sleeves. Irma Gerd, Jada Shada Hudson, Kimmy Couture and Lady Boom Boom receive positive critiques, with Jada Shada Hudson winning the challenge. Bombae, Chelazon Leroux, Kaos and Miss Fiercalicious receive negative critiques, with Bombae and Kaos being safe. Chelazon Leroux and Miss Fiercalicious lip-sync to ""Don't Call Me Baby"" by Kreesha Turner. Miss Fiercalicious wins the lip-sync and Chelazon Leroux sashays away.

Guest Judges: Vanessa Vanjie Mateo and Hollywood Jade
Mini-Challenge: Create a ""quick-drag"" masculine character and make Brooke laugh on a blind date
Mini-Challenge Winner: Vivian Vanderpuss
Mini-Challenge Prize: A $2,500 gift card courtesy of ShoeFreaks + the power to assign the songs for the Main Challenge
Main Challenge: In pairs, choreograph and perform lip-sync numbers to well-known RuPaul duets
Runway Theme: Sleeves
Challenge Winner: Jada Shada Hudson
Challenge Prize: A $5,000 gift card courtesy of Fabricland
Bottom Two: Chelazon Leroux and Miss Fiercalicious
Lip Sync Song: ""Don't Call Me Baby"" by Kreesha Turner
Eliminated: Chelazon Leroux
Farewell Message: ""Loved meeting you all. Good luck writing your own jokes. Stay deadly. Chelazon""
",": A $2,500 gift card courtesy of ShoeFreaks + the power to assign the songs for the Main Challenge",": In pairs, choreograph and perform lip-sync numbers to well-known RuPaul duets",: Vivian Vanderpuss,: Sleeves
Canada's Drag Race,3,4,"""Bitch Stole My Look""",2022-08-04,"
For this week's mini-challenge, the queens improvise a ""Tuck Talk"" sponsored by Trojan. Jada Shada Hudson wins the mini-challenge. For the main challenge, the queens have to create a runway look from a box of materials, with the twist being that every queen's box has identical contents.
On the runway, category is Bitch Stole My Look. Bombae, Gisèle Lullaby and Kimmy Couture receive positive critiques, with Gisèle Lullaby winning the challenge. Irma Gerd, Jada Shada Hudson and Kaos receive negative critiques, with Irma Gerd being safe. Jada Shada Hudson and Kaos lip-sync to ""Stranger in My House (Thunderpuss Radio Mix)"" by Tamia. Jada Shada Hudson wins the lip-sync and Kaos sashays away.

Guest Judges: Sarain Fox and Jimbo
Mini-Challenge: Improvise a ""Tuck Talk"" sponsored by Trojan
Mini-Challenge Winner: Jada Shada Hudson
Mini-Challenge Prize: $2,500 worth of pleasure products from Trojan
Main Challenge: Create a distinctive runway look from the same material as the other queens
Runway Theme: Bitch Stole My Look
Challenge Winner: Gisèle Lullaby
Challenge Prize: $5,000 courtesy of Snag Tights
Bottom Two: Jada Shada Hudson and Kaos
Lip Sync Song: ""Stranger in My House (Thunderpuss Radio Mix)"" by Tamia
Eliminated: Kaos
Farewell Message: ""All you girls fucking rock!!! Always keep your confidence going strong! Live your inner Kaos!!! Vivian you bitch get that crown! P.S. Bombae, I'm keeping the wig! See y'all real soon!!! ♡ Kaos""
",": $2,500 worth of pleasure products from Trojan",: Create a distinctive runway look from the same material as the other queens,: Jada Shada Hudson,: Bitch Stole My Look
Canada's Drag Race,3,5,"""Snatch Game""",2022-08-11,"
For this week's mini-challenge, the queens read each other to filth. Lady Boom Boom wins the mini-challenge. For this week's maxi-challenge, the queens impersonate celebrities and play the Snatch Game. Brad Goreski and Traci Melchor star as the celebrity contestants. The cast consists of:

Bombae as Aziz Ansari
Gisèle Lullaby as Marie Curie
Irma Gerd as Marilyn Monroe
Jada Shada Hudson as Saucy Santana
Kimmy Couture as Ariana Grande
Lady Boom Boom as Mado Lamotte
Miss Fiercalicious as Kourtney Kardashian
Vivian Vanderpuss as Tammy Faye Messner
On the runway, category is Periodic Table of Elements. Gisèle Lullaby, Irma Gerd and Vivian Vanderpuss receive positive critiques, with Gisèle Lullaby winning the challenge. Bombae, Kimmy Couture and Lady Boom Boom receive negative critiques, with Bombae being safe. Kimmy Couture and Lady Boom Boom lip-sync to ""Run Away with Me"" by Carly Rae Jepsen. Kimmy Couture wins the lip-sync and Lady Boom Boom sashays away.

Guest Judge: Sarain Fox
Mini-Challenge: Reading is Fundamental
Mini-Challenge Winner: Lady Boom Boom
Mini-Challenge Prize: $2,500 cash courtesy of the Men's Room
Main Challenge: Snatch Game
Runway Theme: Periodic Table of Elements
Challenge Winner: Gisèle Lullaby
Challenge Prize: $5,000 courtesy of Palm Holdings
Bottom Two: Kimmy Couture and Lady Boom Boom
Lip Sync Song: ""Run Away with Me"" by Carly Rae Jepsen
Eliminated: Lady Boom Boom
Farewell Message: ""BOOK ME""
",": $2,500 cash courtesy of the Men's Room",: Snatch Game,: Lady Boom Boom,: Periodic Table of Elements
Canada's Drag Race,3,6,"""Cosmetic Queens""",2022-08-18,"
For this week's mini-challenge, the queens create a Drag Family Portrait Session in groups. Jada Shada Hudson wins the mini-challenge. For the main challenge, the queens film a commercial and do a photoshoot to promote their own eyeshadow palette.

Bombae - Butter Chicken
Gisèle Lullaby - Was That French?
Irma Gerd - Snot Rocket
Jada Shada Hudson - Turn Up
Kimmy Couture - Transcending
Miss Fiercalicious - Fierce
Vivian Vanderpuss - Cat Mom
On the runway, category is Paint. Jada Shada Hudson, Miss Fiercalicious and Vivian Vanderpuss receive positive critiques, with Miss Fiercalicious winning the challenge. Bombae, Gisèle Lullaby and Irma Gerd receive negative critiques, with Gisèle Lullaby being safe. Bombae and Irma Gerd lip-sync to ""Table Dancer"" by Keshia Chanté. Irma Gerd wins the lip-sync and Bombae sashays away.

Guest Judge: Mei Pang
Mini-Challenge: Drag Family Portrait Session
Mini-Challenge Winner: Jada Shada Hudson
Mini-Challenge Prize: $2,500 cash courtesy of Dirt Squirrel Apparel
Main Challenge: Film a commercial and do a photoshoot to promote their own eyeshadow palette
Runway Theme: Paint
Challenge Winner: Miss Fiercalicious
Challenge Prize: $5,000 courtesy of Neutrogena
Bottom Two: Bombae and Irma Gerd
Lip Sync Song: ""Table Dancer"" by Keshia Chanté
Eliminated: Bombae
Farewell Message: ""Will you see me again? WHO KNOWS? Love you ♡ Bom""
",": $2,500 cash courtesy of Dirt Squirrel Apparel",: Film a commercial and do a photoshoot to promote their own eyeshadow palette,: Jada Shada Hudson,: Paint
Canada's Drag Race,3,7,"""Squirrels Trip: The Rusical""",2022-08-25,"
For this week's mini-challenge, the queens audition for a parody sci-fi film. Kimmy Couture wins the mini-challenge. For the main challenge, the queens will perform in Squirrels Trip: The Rusical. 

Gisèle Lullaby plays Jill
Irma Gerd plays Jackae
Jada Shada Hudson plays Grace
Kimmy Couture plays Amber
Miss Fiercalicious plays Ronnie
Vivian Vanderpuss plays Kiki
On the runway, category is Dystopian Drag. Kimmy Couture, Miss Fiercalicious and Vivian Vanderpuss receive positive critiques, with Vivian Vanderpuss winning the challenge. Gisèle Lullaby, Irma Gerd and Jada Shada Hudson receive negative critiques, with Jada Shada Hudson being safe. Gisèle Lullaby and Irma Gerd lip-sync to ""Love Is"" by Alannah Myles. Gisèle Lullaby wins the lip-sync and Irma Gerd sashays away.

Guest Judge: Jeremy Dutcher
Mini-Challenge: Audition for a parody sci-fi film
Mini-Challenge Winner: Kimmy Couture
Mini-Challenge Prize: $2,500 cash courtesy of Made
Main Challenge: Squirrels Trip: The Rusical
Runway Theme: Dystopian Drag
Challenge Winner: Vivian Vanderpuss
Challenge Prize: $2,500 courtesy of Made
Bottom Two: Gisèle Lullaby and Irma Gerd
Lip Sync Song: ""Love Is"" by Alannah Myles
Eliminated: Irma Gerd
Farewell Message: ""Thank you ever so! Hope you had a GERD time ♡ VIVIAN 👑""
",": $2,500 cash courtesy of Made",: Squirrels Trip: The Rusical,: Kimmy Couture,: Dystopian Drag
Canada's Drag Race,3,8,"""The Masquerade Ball""",2022-09-01,"
For this week's main challenge, the queens have to make three looks for The Masquerade Ball: Masc for Mascara, Incog-She-To and Masquerade Eleganza.
On the runway, Gisèle Lullaby and Miss Fiercalicious receive positive critiques, with Miss Fiercalicious winning the challenge. Kimmy Couture and Vivian Vanderpuss receive negative critiques and are up for elimination. They lip-sync to ""CTRL + ALT + DELETE"" by Rêve. Kimmy Couture wins the lip-sync and Vivian Vanderpuss sashays away.

Guest Judge: Lesley Hampton
Main Challenge: The Masquerade Ball
Runway Themes: Masc for Mascara, Incog-She-To and Masquerade Eleganza
Challenge Winner: Miss Fiercalicious
Challenge Prize: $5,000 courtesy of Snag Tights
Bottom Two: Kimmy Couture and Vivian Vanderpuss
Lip Sync Song: ""CTRL + ALT + DEL"" by Rêve
Eliminated: Vivian Vanderpuss
Farewell Message: ""I miss you already. I think it's really important that you remember the size of my lips! Jizelle 👑👑👑""
",,: The Masquerade Ball,,": Masc for Mascara, Incog-She-To and Masquerade Eleganza"
Canada's Drag Race,3,9,"""True North Strong (and Fierce)""",2022-09-08,"
For the final challenge of the season, the queens will have to write and record their own verse for and perform to ""True North Strong and Fierce"". They will also have to do a photoshoot with Season 2's winner Icesis Couture. The queens walk the runway one last time in their Coronation Eleganza. The eliminated queens return and walk the runway one last time as well. After the runway, it is announced that Kimmy Couture and Miss Fiercalicious are eliminated, leaving Giséle Lullaby and Jada Shada Hudson as the final two. They lip-sync to ""A New Day Has Come (Radio Remix)"" by Céline Dion. It is announced that Giséle Lullaby is the winner, leaving Jada Shada Hudson as the runner-up.

Guest Judge: Sarah Nurse
Main Challenge: Write and record your own verse for and perform to ""True North Strong and Fierce"" as well as a photoshoot with Icesis Couture
Runway Theme: Coronation Eleganza
Eliminated: Kimmy Couture and Miss Fiercalicious
Top Two: Gisèle Lullaby and Jada Shada Hudson
Lip Sync Song: ""A New Day Has Come (Radio Remix)"" by Céline Dion
Runner-up: Jada Shada Hudson
Winner of Canada's Drag Race Season Three: Gisèle Lullaby
",,": Write and record your own verse for and perform to ""True North Strong and Fierce"" as well as a photoshoot with Icesis Couture",,: Coronation Eleganza
Drag Race Down Under,1,1,"""G'day, G'day, G'day""",2021-05-01,"
Ten new queens enter the workroom. For the first mini-challenge, the queens will perform in an Intergalactic Superhero Acting Audition for the movie ""Thar"". Elektra Shock wins the mini-challenge. For the main challenge, the queens will create two looks to present on the runway, with themes being Born Naked and No Place Like Home.
On the runway, Art Simone, Karen from Finance and Scarlet Adams receive positive critiques, with Karen from Finance winning the challenge. Coco Jumbo, Elektra Shock and Jojo Zaho receive negative critiques, with Coco Jumbo being safe. Elektra Shock and Jojo Zaho lip-sync to ""Tragedy"" by Bee Gees. Elektra Shock wins the lip-sync and Jojo Zaho sashays away.

Mini Challenge: Intergalactic Superhero Acting Audition – ""Thar""
Mini Challenge Winner: Elektra Shock
Main Challenge: Get to Know You Ball
Runway Themes: Born Naked and No Place Like Home
Challenge Winner: Karen from Finance
Main Challenge Prize: $3,000 cash tip from Mary's Poppin' in Adelaide
Bottom Two: Elektra Shock and Jojo Zaho
Lip Sync Song: ""Tragedy"" by Bee Gees
Eliminated: Jojo Zaho 
Farewell Message: "" I am so happy to call each & everyone of you mob(sisters). Bring that crown home. Aussie, Aussie, Aussie, Oi Oi Oi. Jojo Zaho x now clean this mirror bitch lol""
",," $3,000 cash tip from Mary's Poppin' in Adelaide",, Born Naked and No Place Like Home
Drag Race Down Under,1,2,"""Snatch Game""",2021-05-08,"
For this week's main challenge, the queens will play the Snatch Game. Michelle Visage and Rhys Nicholson star as the celebrity contestants. The characters are as follows:

Anita Wigl'it as Elizabeth II
Art Simone	as Bindi Irwin
Coco Jumbo	as Lizzo
Elektra Shock as Catherine O'Hara
Etcetera Etcetera as Lindy Chamberlain-Creighton
Karen from Finance	as Dolly Parton
Kita Mean as Dr. Seuss
Maxi Shield as Magda Szubanski
Scarlet Adams as Jennifer Coolidge
On the runway, category is Sea-Sickening. Anita Wigl'it is announced to be the winner, with Etcetera Etcetera and Kita Mean being safe. Ru then tells the other queens that they are all in the bottom and any of them could be up for elimination. Art Simone and Coco Jumbo are announced as the bottom two and they lip-sync to ""I'm That Bitch"" by RuPaul. Coco Jumbo wins the lip-sync, and Art Simone is shockingly eliminated from the competition, much to the dismay of the other queens.

Main Challenge: The Snatch Game
Runway Theme: Sea-Sickening
Challenge Winner: Anita Wigl'it 
Main Challenge Prize: $5,000 cash tip from  Barefoot Wine Australia
Bottom Two: Art Simone and Coco Jumbo
Lip Sync Song: ""I'm That Bitch"" by RuPaul
Eliminated: Art Simone  
Farewell Message: ""REDЯUM ♡ Art. Karen bring home that crown!""
",," $5,000 cash tip from  Barefoot Wine Australia",, Sea-Sickening
Drag Race Down Under,1,3,"""Queens Down Under""",2021-05-15,"
For this week's mini-challenge, the queens will create a slow-motion surf rescue for ""Babewatch"". Elektra Shock and Scarlet Adams win the mini-challenge and are team captains for the main challenge. For the main challenge, the queens will write their own lyrics and perform to ""Queens Down Under"". Elektra chooses Karen from Finance, Kita Mean and Maxi Shield for her team and they form ""Three and a Half Men"". Scarlet chooses Anita Wigl'it, Coco Jumbo and Etcetera Etcetera for her team and they form the ""Outback Fake Hoes"".
On the runway, category is Bogan Prom Realness. Anita Wigl'it, Kita Mean and Scarlet Adams receive positive critiques, with Scarlet Adams winning the challenge. Coco Jumbo, Elektra Shock and Maxi Shield receive negative critiques, with Maxi Shield being safe. Coco Jumbo and Elektra Shock lip-sync to ""Shake Your Groove Thing"" by Peaches & Herb. Elektra Shock wins the lip-sync and Coco Jumbo sashays away.

Mini Challenge: BABEWATCH – Slow-motion surf rescue
Mini Challenge Winners: Elektra Shock and Scarlet Adams
Mini Challenge Prizes: $2,500 gift card from Glitter au Gogo, $2,500 gift card from Philmah's Werqshop
Main Challenge: Write original lyrics and perform them to ""Queens Down Under"".
Runway Theme: Bogan Prom Realness
Challenge Winner: Scarlet Adams
Main Challenge Prize: $4,500 Custom prosthetic piece from BodyFX
Bottom Two: Coco Jumbo and Elektra Shock
Lip Sync Song: ""Shake Your Groove Thing"" by Peaches & Herb
Eliminated: Coco Jumbo 
Farewell Message: ""I ♡ you my sisters. THE PARTY STARTS NOW!! ♡ COCO JUMBO. PS: WATCH OUT BITCH.""
",," $4,500 Custom prosthetic piece from BodyFX",, Bogan Prom Realness
Drag Race Down Under,1,4,"""Rucycled""",2021-05-22,"
For this week's main challenge, the queens will construct a runway outfit from miscellaneous items found in a local op shop. After the main challenge is announced, Art Simone pops out of the items and is announced to be returning to the competition.
On the runway, Art Simone, Maxi Shield and Scarlet Adams receive positive critiques, with Scarlet Adams winning the challenge. Anita Wigl'it, Etcetera Etcetera and Karen from Finance receive negative critiques, with Etcetera Etcetera being safe. Anita Wigl'it and Karen from Finance lip-sync to ""I Begin to Wonder"" by Dannii Minogue. Karen from Finance wins the lip-sync and Anita Wigl'it sashays away. 

Guest Judge: Elz Carrad
Returned: Art Simone
Main Challenge: Construct a runway outfit from miscellaneous items found in the local op shop
Challenge Winner: Scarlet Adams
Main Challenge Prize: $2,500 gift card from Elea's Closet
Bottom Two: Anita Wigl'it and Karen from Finance
Lip Sync Song: ""I Begin to Wonder"" by Dannii Minogue
Eliminated: Anita Wigl'it 
Farewell Message: ""To my beautiful queens, You are everything to me! I come in with 3 Kiwi sisters and leave with a whole Australian sisters hood. Never forget my Dry Arse Pussy. Anita P.S. see you in two in the trash.""
",," $2,500 gift card from Elea's Closet",,
Drag Race Down Under,1,5,"""Marketing Hats""",2021-05-29,"
For the mini-challenge, the queens read each other, with Art Simone winning the mini-challenge. For the main challenge, the queens will create their own infomercial for their own Yeast Spread.
Their infomercial products are as follows:

Karen – Discharge
Scarlet – Snatch
Art – Yeasty Yank Extractor
Kita – Yeasty Nuts
Etcetera – Pissed
Elektra – Topped
Maxi – Hornbag
Before the runway starts, Scarlet Adams announces that she has done blackface in the past, much to the dismay of the rest of the cast.
On the runway, category is Finest Sheila in the Bush. Elektra Shock and Kita Mean receive positive critiques, with Elektra Shock winning the challenge. Ru then brings up Scarlet Adam's past, and scolds her for it. Etcetera Etcetera, Karen from Finance and Maxi Shield receive negative critiques, with Karen from Finance being safe. Etcetera Etcetera and Maxi Shield lip-sync to ""Absolutely Everybody"" by Vanessa Amorosi. Maxi Shield wins the lip-sync and Etcetera Etcetera sashays away.

Guest Judge: Rena Owen
Mini Challenge: Reading challenge
Mini Challenge Winner: Art Simone
Mini Challenge Prize: Sewing machine courtesy of Singer
Main Challenge: Create an infomercial for your own Yeast Spread
Runway Theme: Finest Sheila in the bush
Challenge Winner: Elektra Shock
Main Challenge Prize: 4 night stay at a Sofitel property of choice in Australia or New Zealand from Sofitel Viaduct Auckland Harbour
Bottom Two: Etcetera Etcetera and Maxi Shield
Lip Sync Song: ""Absolutely Everybody"" by Vanessa Amorosi
Eliminated: Etcetera Etcetera 
Farewell Message: ""YIPPEE YIPPEE! TRANS PEOPLE DESERVE MORE! I LOVE YOU BITCHES ♡ ETC THE GLAMOUR BUG XO""
",, 4 night stay at a Sofitel property of choice in Australia or New Zealand from Sofitel Viaduct Auckland Harbour,, Finest Sheila in the bush
